"Var1","Var2","Var3","Freq"
"9834","NNN","2012.01","Crocuta crocuta",0
"9835","PSH","2012.01","Crocuta crocuta",0
"9836","RNF","2012.01","Crocuta crocuta",0
"9837","UDZ","2012.01","Crocuta crocuta",0
"9838","VB-","2012.01","Crocuta crocuta",0
"9839","YAN","2012.01","Crocuta crocuta",0
"9840","YAS","2012.01","Crocuta crocuta",0
"9841","BBS","2013.01","Crocuta crocuta",0
"9842","BCI","2013.01","Crocuta crocuta",0
"9843","BIF","2013.01","Crocuta crocuta",0
"9844","CAX","2013.01","Crocuta crocuta",0
"9845","COU","2013.01","Crocuta crocuta",0
"9846","CSN","2013.01","Crocuta crocuta",0
"9847","KRP","2013.01","Crocuta crocuta",0
"9848","MAS","2013.01","Crocuta crocuta",0
"9849","NAK","2013.01","Crocuta crocuta",0
"9850","NNN","2013.01","Crocuta crocuta",0
"9851","PSH","2013.01","Crocuta crocuta",0
"9852","RNF","2013.01","Crocuta crocuta",0
"9853","UDZ","2013.01","Crocuta crocuta",0
"9854","VB-","2013.01","Crocuta crocuta",0
"9855","YAN","2013.01","Crocuta crocuta",0
"9856","YAS","2013.01","Crocuta crocuta",0
"9857","BBS","2007.01","Crossarchus obscurus",0
"9858","BCI","2007.01","Crossarchus obscurus",0
"9859","BIF","2007.01","Crossarchus obscurus",0
"9860","CAX","2007.01","Crossarchus obscurus",0
"9861","COU","2007.01","Crossarchus obscurus",0
"9862","CSN","2007.01","Crossarchus obscurus",0
"9863","KRP","2007.01","Crossarchus obscurus",0
"9864","MAS","2007.01","Crossarchus obscurus",0
"9865","NAK","2007.01","Crossarchus obscurus",0
"9866","NNN","2007.01","Crossarchus obscurus",0
"9867","PSH","2007.01","Crossarchus obscurus",0
"9868","RNF","2007.01","Crossarchus obscurus",0
"9869","UDZ","2007.01","Crossarchus obscurus",0
"9870","VB-","2007.01","Crossarchus obscurus",0
"9871","YAN","2007.01","Crossarchus obscurus",0
"9872","YAS","2007.01","Crossarchus obscurus",0
"9873","BBS","2008.01","Crossarchus obscurus",0
"9874","BCI","2008.01","Crossarchus obscurus",0
"9875","BIF","2008.01","Crossarchus obscurus",0
"9876","CAX","2008.01","Crossarchus obscurus",0
"9877","COU","2008.01","Crossarchus obscurus",0
"9878","CSN","2008.01","Crossarchus obscurus",0
"9879","KRP","2008.01","Crossarchus obscurus",0
"9880","MAS","2008.01","Crossarchus obscurus",0
"9881","NAK","2008.01","Crossarchus obscurus",0
"9882","NNN","2008.01","Crossarchus obscurus",0
"9883","PSH","2008.01","Crossarchus obscurus",0
"9884","RNF","2008.01","Crossarchus obscurus",0
"9885","UDZ","2008.01","Crossarchus obscurus",0
"9886","VB-","2008.01","Crossarchus obscurus",0
"9887","YAN","2008.01","Crossarchus obscurus",0
"9888","YAS","2008.01","Crossarchus obscurus",0
"9889","BBS","2009.01","Crossarchus obscurus",0
"9890","BCI","2009.01","Crossarchus obscurus",0
"9891","BIF","2009.01","Crossarchus obscurus",0
"9892","CAX","2009.01","Crossarchus obscurus",0
"9893","COU","2009.01","Crossarchus obscurus",0
"9894","CSN","2009.01","Crossarchus obscurus",0
"9895","KRP","2009.01","Crossarchus obscurus",0
"9896","MAS","2009.01","Crossarchus obscurus",0
"9897","NAK","2009.01","Crossarchus obscurus",0
"9898","NNN","2009.01","Crossarchus obscurus",0
"9899","PSH","2009.01","Crossarchus obscurus",0
"9900","RNF","2009.01","Crossarchus obscurus",0
"9901","UDZ","2009.01","Crossarchus obscurus",0
"9902","VB-","2009.01","Crossarchus obscurus",0
"9903","YAN","2009.01","Crossarchus obscurus",0
"9904","YAS","2009.01","Crossarchus obscurus",0
"9905","BBS","2010.01","Crossarchus obscurus",0
"9906","BCI","2010.01","Crossarchus obscurus",0
"9907","BIF","2010.01","Crossarchus obscurus",0
"9908","CAX","2010.01","Crossarchus obscurus",0
"9909","COU","2010.01","Crossarchus obscurus",0
"9910","CSN","2010.01","Crossarchus obscurus",0
"9911","KRP","2010.01","Crossarchus obscurus",0
"9912","MAS","2010.01","Crossarchus obscurus",0
"9913","NAK","2010.01","Crossarchus obscurus",0
"9914","NNN","2010.01","Crossarchus obscurus",0
"9915","PSH","2010.01","Crossarchus obscurus",0
"9916","RNF","2010.01","Crossarchus obscurus",0
"9917","UDZ","2010.01","Crossarchus obscurus",0
"9918","VB-","2010.01","Crossarchus obscurus",0
"9919","YAN","2010.01","Crossarchus obscurus",0
"9920","YAS","2010.01","Crossarchus obscurus",0
"9921","BBS","2011.01","Crossarchus obscurus",0
"9922","BCI","2011.01","Crossarchus obscurus",0
"9923","BIF","2011.01","Crossarchus obscurus",0
"9924","CAX","2011.01","Crossarchus obscurus",0
"9925","COU","2011.01","Crossarchus obscurus",0
"9926","CSN","2011.01","Crossarchus obscurus",0
"9927","KRP","2011.01","Crossarchus obscurus",855
"9928","MAS","2011.01","Crossarchus obscurus",0
"9929","NAK","2011.01","Crossarchus obscurus",0
"9930","NNN","2011.01","Crossarchus obscurus",0
"9931","PSH","2011.01","Crossarchus obscurus",0
"9932","RNF","2011.01","Crossarchus obscurus",0
"9933","UDZ","2011.01","Crossarchus obscurus",0
"9934","VB-","2011.01","Crossarchus obscurus",0
"9935","YAN","2011.01","Crossarchus obscurus",0
"9936","YAS","2011.01","Crossarchus obscurus",0
"9937","BBS","2012.01","Crossarchus obscurus",0
"9938","BCI","2012.01","Crossarchus obscurus",0
"9939","BIF","2012.01","Crossarchus obscurus",0
"9940","CAX","2012.01","Crossarchus obscurus",0
"9941","COU","2012.01","Crossarchus obscurus",0
"9942","CSN","2012.01","Crossarchus obscurus",0
"9943","KRP","2012.01","Crossarchus obscurus",501
"9944","MAS","2012.01","Crossarchus obscurus",0
"9945","NAK","2012.01","Crossarchus obscurus",0
"9946","NNN","2012.01","Crossarchus obscurus",0
"9947","PSH","2012.01","Crossarchus obscurus",0
"9948","RNF","2012.01","Crossarchus obscurus",0
"9949","UDZ","2012.01","Crossarchus obscurus",0
"9950","VB-","2012.01","Crossarchus obscurus",3
"9951","YAN","2012.01","Crossarchus obscurus",0
"9952","YAS","2012.01","Crossarchus obscurus",0
"9953","BBS","2013.01","Crossarchus obscurus",0
"9954","BCI","2013.01","Crossarchus obscurus",0
"9955","BIF","2013.01","Crossarchus obscurus",0
"9956","CAX","2013.01","Crossarchus obscurus",0
"9957","COU","2013.01","Crossarchus obscurus",0
"9958","CSN","2013.01","Crossarchus obscurus",0
"9959","KRP","2013.01","Crossarchus obscurus",0
"9960","MAS","2013.01","Crossarchus obscurus",0
"9961","NAK","2013.01","Crossarchus obscurus",0
"9962","NNN","2013.01","Crossarchus obscurus",0
"9963","PSH","2013.01","Crossarchus obscurus",0
"9964","RNF","2013.01","Crossarchus obscurus",0
"9965","UDZ","2013.01","Crossarchus obscurus",0
"9966","VB-","2013.01","Crossarchus obscurus",0
"9967","YAN","2013.01","Crossarchus obscurus",0
"9968","YAS","2013.01","Crossarchus obscurus",0
"9969","BBS","2007.01","Cryptoprocta ferox",0
"9970","BCI","2007.01","Cryptoprocta ferox",0
"9971","BIF","2007.01","Cryptoprocta ferox",0
"9972","CAX","2007.01","Cryptoprocta ferox",0
"9973","COU","2007.01","Cryptoprocta ferox",0
"9974","CSN","2007.01","Cryptoprocta ferox",0
"9975","KRP","2007.01","Cryptoprocta ferox",0
"9976","MAS","2007.01","Cryptoprocta ferox",0
"9977","NAK","2007.01","Cryptoprocta ferox",0
"9978","NNN","2007.01","Cryptoprocta ferox",0
"9979","PSH","2007.01","Cryptoprocta ferox",0
"9980","RNF","2007.01","Cryptoprocta ferox",0
"9981","UDZ","2007.01","Cryptoprocta ferox",0
"9982","VB-","2007.01","Cryptoprocta ferox",0
"9983","YAN","2007.01","Cryptoprocta ferox",0
"9984","YAS","2007.01","Cryptoprocta ferox",0
"9985","BBS","2008.01","Cryptoprocta ferox",0
"9986","BCI","2008.01","Cryptoprocta ferox",0
"9987","BIF","2008.01","Cryptoprocta ferox",0
"9988","CAX","2008.01","Cryptoprocta ferox",0
"9989","COU","2008.01","Cryptoprocta ferox",0
"9990","CSN","2008.01","Cryptoprocta ferox",0
"9991","KRP","2008.01","Cryptoprocta ferox",0
"9992","MAS","2008.01","Cryptoprocta ferox",0
"9993","NAK","2008.01","Cryptoprocta ferox",0
"9994","NNN","2008.01","Cryptoprocta ferox",0
"9995","PSH","2008.01","Cryptoprocta ferox",0
"9996","RNF","2008.01","Cryptoprocta ferox",0
"9997","UDZ","2008.01","Cryptoprocta ferox",0
"9998","VB-","2008.01","Cryptoprocta ferox",0
"9999","YAN","2008.01","Cryptoprocta ferox",0
"10000","YAS","2008.01","Cryptoprocta ferox",0
"10001","BBS","2009.01","Cryptoprocta ferox",0
"10002","BCI","2009.01","Cryptoprocta ferox",0
"10003","BIF","2009.01","Cryptoprocta ferox",0
"10004","CAX","2009.01","Cryptoprocta ferox",0
"10005","COU","2009.01","Cryptoprocta ferox",0
"10006","CSN","2009.01","Cryptoprocta ferox",0
"10007","KRP","2009.01","Cryptoprocta ferox",0
"10008","MAS","2009.01","Cryptoprocta ferox",0
"10009","NAK","2009.01","Cryptoprocta ferox",0
"10010","NNN","2009.01","Cryptoprocta ferox",0
"10011","PSH","2009.01","Cryptoprocta ferox",0
"10012","RNF","2009.01","Cryptoprocta ferox",0
"10013","UDZ","2009.01","Cryptoprocta ferox",0
"10014","VB-","2009.01","Cryptoprocta ferox",0
"10015","YAN","2009.01","Cryptoprocta ferox",0
"10016","YAS","2009.01","Cryptoprocta ferox",0
"10017","BBS","2010.01","Cryptoprocta ferox",0
"10018","BCI","2010.01","Cryptoprocta ferox",0
"10019","BIF","2010.01","Cryptoprocta ferox",0
"10020","CAX","2010.01","Cryptoprocta ferox",0
"10021","COU","2010.01","Cryptoprocta ferox",0
"10022","CSN","2010.01","Cryptoprocta ferox",0
"10023","KRP","2010.01","Cryptoprocta ferox",0
"10024","MAS","2010.01","Cryptoprocta ferox",0
"10025","NAK","2010.01","Cryptoprocta ferox",0
"10026","NNN","2010.01","Cryptoprocta ferox",0
"10027","PSH","2010.01","Cryptoprocta ferox",0
"10028","RNF","2010.01","Cryptoprocta ferox",423
"10029","UDZ","2010.01","Cryptoprocta ferox",0
"10030","VB-","2010.01","Cryptoprocta ferox",0
"10031","YAN","2010.01","Cryptoprocta ferox",0
"10032","YAS","2010.01","Cryptoprocta ferox",0
"10033","BBS","2011.01","Cryptoprocta ferox",0
"10034","BCI","2011.01","Cryptoprocta ferox",0
"10035","BIF","2011.01","Cryptoprocta ferox",0
"10036","CAX","2011.01","Cryptoprocta ferox",0
"10037","COU","2011.01","Cryptoprocta ferox",0
"10038","CSN","2011.01","Cryptoprocta ferox",0
"10039","KRP","2011.01","Cryptoprocta ferox",0
"10040","MAS","2011.01","Cryptoprocta ferox",0
"10041","NAK","2011.01","Cryptoprocta ferox",0
"10042","NNN","2011.01","Cryptoprocta ferox",0
"10043","PSH","2011.01","Cryptoprocta ferox",0
"10044","RNF","2011.01","Cryptoprocta ferox",1126
"10045","UDZ","2011.01","Cryptoprocta ferox",0
"10046","VB-","2011.01","Cryptoprocta ferox",0
"10047","YAN","2011.01","Cryptoprocta ferox",0
"10048","YAS","2011.01","Cryptoprocta ferox",0
"10049","BBS","2012.01","Cryptoprocta ferox",0
"10050","BCI","2012.01","Cryptoprocta ferox",0
"10051","BIF","2012.01","Cryptoprocta ferox",0
"10052","CAX","2012.01","Cryptoprocta ferox",0
"10053","COU","2012.01","Cryptoprocta ferox",0
"10054","CSN","2012.01","Cryptoprocta ferox",0
"10055","KRP","2012.01","Cryptoprocta ferox",0
"10056","MAS","2012.01","Cryptoprocta ferox",0
"10057","NAK","2012.01","Cryptoprocta ferox",0
"10058","NNN","2012.01","Cryptoprocta ferox",0
"10059","PSH","2012.01","Cryptoprocta ferox",0
"10060","RNF","2012.01","Cryptoprocta ferox",761
"10061","UDZ","2012.01","Cryptoprocta ferox",0
"10062","VB-","2012.01","Cryptoprocta ferox",0
"10063","YAN","2012.01","Cryptoprocta ferox",0
"10064","YAS","2012.01","Cryptoprocta ferox",0
"10065","BBS","2013.01","Cryptoprocta ferox",0
"10066","BCI","2013.01","Cryptoprocta ferox",0
"10067","BIF","2013.01","Cryptoprocta ferox",0
"10068","CAX","2013.01","Cryptoprocta ferox",0
"10069","COU","2013.01","Cryptoprocta ferox",0
"10070","CSN","2013.01","Cryptoprocta ferox",0
"10071","KRP","2013.01","Cryptoprocta ferox",0
"10072","MAS","2013.01","Cryptoprocta ferox",0
"10073","NAK","2013.01","Cryptoprocta ferox",0
"10074","NNN","2013.01","Cryptoprocta ferox",0
"10075","PSH","2013.01","Cryptoprocta ferox",0
"10076","RNF","2013.01","Cryptoprocta ferox",0
"10077","UDZ","2013.01","Cryptoprocta ferox",0
"10078","VB-","2013.01","Cryptoprocta ferox",0
"10079","YAN","2013.01","Cryptoprocta ferox",0
"10080","YAS","2013.01","Cryptoprocta ferox",0
"10081","BBS","2007.01","Crypturellus bartletti",0
"10082","BCI","2007.01","Crypturellus bartletti",0
"10083","BIF","2007.01","Crypturellus bartletti",0
"10084","CAX","2007.01","Crypturellus bartletti",0
"10085","COU","2007.01","Crypturellus bartletti",0
"10086","CSN","2007.01","Crypturellus bartletti",0
"10087","KRP","2007.01","Crypturellus bartletti",0
"10088","MAS","2007.01","Crypturellus bartletti",0
"10089","NAK","2007.01","Crypturellus bartletti",0
"10090","NNN","2007.01","Crypturellus bartletti",0
"10091","PSH","2007.01","Crypturellus bartletti",0
"10092","RNF","2007.01","Crypturellus bartletti",0
"10093","UDZ","2007.01","Crypturellus bartletti",0
"10094","VB-","2007.01","Crypturellus bartletti",0
"10095","YAN","2007.01","Crypturellus bartletti",0
"10096","YAS","2007.01","Crypturellus bartletti",0
"10097","BBS","2008.01","Crypturellus bartletti",0
"10098","BCI","2008.01","Crypturellus bartletti",0
"10099","BIF","2008.01","Crypturellus bartletti",0
"10100","CAX","2008.01","Crypturellus bartletti",0
"10101","COU","2008.01","Crypturellus bartletti",0
"10102","CSN","2008.01","Crypturellus bartletti",0
"10103","KRP","2008.01","Crypturellus bartletti",0
"10104","MAS","2008.01","Crypturellus bartletti",0
"10105","NAK","2008.01","Crypturellus bartletti",0
"10106","NNN","2008.01","Crypturellus bartletti",0
"10107","PSH","2008.01","Crypturellus bartletti",0
"10108","RNF","2008.01","Crypturellus bartletti",0
"10109","UDZ","2008.01","Crypturellus bartletti",0
"10110","VB-","2008.01","Crypturellus bartletti",0
"10111","YAN","2008.01","Crypturellus bartletti",0
"10112","YAS","2008.01","Crypturellus bartletti",0
"10113","BBS","2009.01","Crypturellus bartletti",0
"10114","BCI","2009.01","Crypturellus bartletti",0
"10115","BIF","2009.01","Crypturellus bartletti",0
"10116","CAX","2009.01","Crypturellus bartletti",0
"10117","COU","2009.01","Crypturellus bartletti",0
"10118","CSN","2009.01","Crypturellus bartletti",0
"10119","KRP","2009.01","Crypturellus bartletti",0
"10120","MAS","2009.01","Crypturellus bartletti",0
"10121","NAK","2009.01","Crypturellus bartletti",0
"10122","NNN","2009.01","Crypturellus bartletti",0
"10123","PSH","2009.01","Crypturellus bartletti",0
"10124","RNF","2009.01","Crypturellus bartletti",0
"10125","UDZ","2009.01","Crypturellus bartletti",0
"10126","VB-","2009.01","Crypturellus bartletti",0
"10127","YAN","2009.01","Crypturellus bartletti",0
"10128","YAS","2009.01","Crypturellus bartletti",0
"10129","BBS","2010.01","Crypturellus bartletti",0
"10130","BCI","2010.01","Crypturellus bartletti",0
"10131","BIF","2010.01","Crypturellus bartletti",0
"10132","CAX","2010.01","Crypturellus bartletti",0
"10133","COU","2010.01","Crypturellus bartletti",0
"10134","CSN","2010.01","Crypturellus bartletti",0
"10135","KRP","2010.01","Crypturellus bartletti",0
"10136","MAS","2010.01","Crypturellus bartletti",0
"10137","NAK","2010.01","Crypturellus bartletti",0
"10138","NNN","2010.01","Crypturellus bartletti",0
"10139","PSH","2010.01","Crypturellus bartletti",0
"10140","RNF","2010.01","Crypturellus bartletti",0
"10141","UDZ","2010.01","Crypturellus bartletti",0
"10142","VB-","2010.01","Crypturellus bartletti",0
"10143","YAN","2010.01","Crypturellus bartletti",0
"10144","YAS","2010.01","Crypturellus bartletti",0
"10145","BBS","2011.01","Crypturellus bartletti",0
"10146","BCI","2011.01","Crypturellus bartletti",0
"10147","BIF","2011.01","Crypturellus bartletti",0
"10148","CAX","2011.01","Crypturellus bartletti",0
"10149","COU","2011.01","Crypturellus bartletti",0
"10150","CSN","2011.01","Crypturellus bartletti",0
"10151","KRP","2011.01","Crypturellus bartletti",0
"10152","MAS","2011.01","Crypturellus bartletti",0
"10153","NAK","2011.01","Crypturellus bartletti",0
"10154","NNN","2011.01","Crypturellus bartletti",0
"10155","PSH","2011.01","Crypturellus bartletti",0
"10156","RNF","2011.01","Crypturellus bartletti",0
"10157","UDZ","2011.01","Crypturellus bartletti",0
"10158","VB-","2011.01","Crypturellus bartletti",0
"10159","YAN","2011.01","Crypturellus bartletti",0
"10160","YAS","2011.01","Crypturellus bartletti",0
"10161","BBS","2012.01","Crypturellus bartletti",0
"10162","BCI","2012.01","Crypturellus bartletti",0
"10163","BIF","2012.01","Crypturellus bartletti",0
"10164","CAX","2012.01","Crypturellus bartletti",0
"10165","COU","2012.01","Crypturellus bartletti",0
"10166","CSN","2012.01","Crypturellus bartletti",0
"10167","KRP","2012.01","Crypturellus bartletti",0
"10168","MAS","2012.01","Crypturellus bartletti",0
"10169","NAK","2012.01","Crypturellus bartletti",0
"10170","NNN","2012.01","Crypturellus bartletti",0
"10171","PSH","2012.01","Crypturellus bartletti",0
"10172","RNF","2012.01","Crypturellus bartletti",0
"10173","UDZ","2012.01","Crypturellus bartletti",0
"10174","VB-","2012.01","Crypturellus bartletti",0
"10175","YAN","2012.01","Crypturellus bartletti",0
"10176","YAS","2012.01","Crypturellus bartletti",0
"10177","BBS","2013.01","Crypturellus bartletti",0
"10178","BCI","2013.01","Crypturellus bartletti",0
"10179","BIF","2013.01","Crypturellus bartletti",0
"10180","CAX","2013.01","Crypturellus bartletti",0
"10181","COU","2013.01","Crypturellus bartletti",27
"10182","CSN","2013.01","Crypturellus bartletti",0
"10183","KRP","2013.01","Crypturellus bartletti",0
"10184","MAS","2013.01","Crypturellus bartletti",0
"10185","NAK","2013.01","Crypturellus bartletti",0
"10186","NNN","2013.01","Crypturellus bartletti",0
"10187","PSH","2013.01","Crypturellus bartletti",0
"10188","RNF","2013.01","Crypturellus bartletti",0
"10189","UDZ","2013.01","Crypturellus bartletti",0
"10190","VB-","2013.01","Crypturellus bartletti",0
"10191","YAN","2013.01","Crypturellus bartletti",0
"10192","YAS","2013.01","Crypturellus bartletti",0
"10193","BBS","2007.01","Crypturellus cinereus",0
"10194","BCI","2007.01","Crypturellus cinereus",0
"10195","BIF","2007.01","Crypturellus cinereus",0
"10196","CAX","2007.01","Crypturellus cinereus",0
"10197","COU","2007.01","Crypturellus cinereus",0
"10198","CSN","2007.01","Crypturellus cinereus",0
"10199","KRP","2007.01","Crypturellus cinereus",0
"10200","MAS","2007.01","Crypturellus cinereus",0
"10201","NAK","2007.01","Crypturellus cinereus",0
"10202","NNN","2007.01","Crypturellus cinereus",0
"10203","PSH","2007.01","Crypturellus cinereus",0
"10204","RNF","2007.01","Crypturellus cinereus",0
"10205","UDZ","2007.01","Crypturellus cinereus",0
"10206","VB-","2007.01","Crypturellus cinereus",0
"10207","YAN","2007.01","Crypturellus cinereus",0
"10208","YAS","2007.01","Crypturellus cinereus",0
"10209","BBS","2008.01","Crypturellus cinereus",0
"10210","BCI","2008.01","Crypturellus cinereus",0
"10211","BIF","2008.01","Crypturellus cinereus",0
"10212","CAX","2008.01","Crypturellus cinereus",0
"10213","COU","2008.01","Crypturellus cinereus",0
"10214","CSN","2008.01","Crypturellus cinereus",18
"10215","KRP","2008.01","Crypturellus cinereus",0
"10216","MAS","2008.01","Crypturellus cinereus",0
"10217","NAK","2008.01","Crypturellus cinereus",0
"10218","NNN","2008.01","Crypturellus cinereus",0
"10219","PSH","2008.01","Crypturellus cinereus",0
"10220","RNF","2008.01","Crypturellus cinereus",0
"10221","UDZ","2008.01","Crypturellus cinereus",0
"10222","VB-","2008.01","Crypturellus cinereus",0
"10223","YAN","2008.01","Crypturellus cinereus",0
"10224","YAS","2008.01","Crypturellus cinereus",0
"10225","BBS","2009.01","Crypturellus cinereus",0
"10226","BCI","2009.01","Crypturellus cinereus",0
"10227","BIF","2009.01","Crypturellus cinereus",0
"10228","CAX","2009.01","Crypturellus cinereus",0
"10229","COU","2009.01","Crypturellus cinereus",0
"10230","CSN","2009.01","Crypturellus cinereus",0
"10231","KRP","2009.01","Crypturellus cinereus",0
"10232","MAS","2009.01","Crypturellus cinereus",0
"10233","NAK","2009.01","Crypturellus cinereus",0
"10234","NNN","2009.01","Crypturellus cinereus",0
"10235","PSH","2009.01","Crypturellus cinereus",0
"10236","RNF","2009.01","Crypturellus cinereus",0
"10237","UDZ","2009.01","Crypturellus cinereus",0
"10238","VB-","2009.01","Crypturellus cinereus",0
"10239","YAN","2009.01","Crypturellus cinereus",0
"10240","YAS","2009.01","Crypturellus cinereus",0
"10241","BBS","2010.01","Crypturellus cinereus",0
"10242","BCI","2010.01","Crypturellus cinereus",0
"10243","BIF","2010.01","Crypturellus cinereus",0
"10244","CAX","2010.01","Crypturellus cinereus",0
"10245","COU","2010.01","Crypturellus cinereus",0
"10246","CSN","2010.01","Crypturellus cinereus",81
"10247","KRP","2010.01","Crypturellus cinereus",0
"10248","MAS","2010.01","Crypturellus cinereus",0
"10249","NAK","2010.01","Crypturellus cinereus",0
"10250","NNN","2010.01","Crypturellus cinereus",0
"10251","PSH","2010.01","Crypturellus cinereus",0
"10252","RNF","2010.01","Crypturellus cinereus",0
"10253","UDZ","2010.01","Crypturellus cinereus",0
"10254","VB-","2010.01","Crypturellus cinereus",0
"10255","YAN","2010.01","Crypturellus cinereus",0
"10256","YAS","2010.01","Crypturellus cinereus",0
"10257","BBS","2011.01","Crypturellus cinereus",0
"10258","BCI","2011.01","Crypturellus cinereus",0
"10259","BIF","2011.01","Crypturellus cinereus",0
"10260","CAX","2011.01","Crypturellus cinereus",0
"10261","COU","2011.01","Crypturellus cinereus",27
"10262","CSN","2011.01","Crypturellus cinereus",0
"10263","KRP","2011.01","Crypturellus cinereus",0
"10264","MAS","2011.01","Crypturellus cinereus",0
"10265","NAK","2011.01","Crypturellus cinereus",0
"10266","NNN","2011.01","Crypturellus cinereus",0
"10267","PSH","2011.01","Crypturellus cinereus",0
"10268","RNF","2011.01","Crypturellus cinereus",0
"10269","UDZ","2011.01","Crypturellus cinereus",0
"10270","VB-","2011.01","Crypturellus cinereus",0
"10271","YAN","2011.01","Crypturellus cinereus",0
"10272","YAS","2011.01","Crypturellus cinereus",0
"10273","BBS","2012.01","Crypturellus cinereus",0
"10274","BCI","2012.01","Crypturellus cinereus",0
"10275","BIF","2012.01","Crypturellus cinereus",0
"10276","CAX","2012.01","Crypturellus cinereus",0
"10277","COU","2012.01","Crypturellus cinereus",0
"10278","CSN","2012.01","Crypturellus cinereus",21
"10279","KRP","2012.01","Crypturellus cinereus",0
"10280","MAS","2012.01","Crypturellus cinereus",0
"10281","NAK","2012.01","Crypturellus cinereus",0
"10282","NNN","2012.01","Crypturellus cinereus",0
"10283","PSH","2012.01","Crypturellus cinereus",0
"10284","RNF","2012.01","Crypturellus cinereus",0
"10285","UDZ","2012.01","Crypturellus cinereus",0
"10286","VB-","2012.01","Crypturellus cinereus",0
"10287","YAN","2012.01","Crypturellus cinereus",0
"10288","YAS","2012.01","Crypturellus cinereus",0
"10289","BBS","2013.01","Crypturellus cinereus",0
"10290","BCI","2013.01","Crypturellus cinereus",0
"10291","BIF","2013.01","Crypturellus cinereus",0
"10292","CAX","2013.01","Crypturellus cinereus",0
"10293","COU","2013.01","Crypturellus cinereus",0
"10294","CSN","2013.01","Crypturellus cinereus",0
"10295","KRP","2013.01","Crypturellus cinereus",0
"10296","MAS","2013.01","Crypturellus cinereus",0
"10297","NAK","2013.01","Crypturellus cinereus",0
"10298","NNN","2013.01","Crypturellus cinereus",0
"10299","PSH","2013.01","Crypturellus cinereus",0
"10300","RNF","2013.01","Crypturellus cinereus",0
"10301","UDZ","2013.01","Crypturellus cinereus",0
"10302","VB-","2013.01","Crypturellus cinereus",0
"10303","YAN","2013.01","Crypturellus cinereus",0
"10304","YAS","2013.01","Crypturellus cinereus",0
"10305","BBS","2007.01","Crypturellus cinnamomeus",0
"10306","BCI","2007.01","Crypturellus cinnamomeus",0
"10307","BIF","2007.01","Crypturellus cinnamomeus",0
"10308","CAX","2007.01","Crypturellus cinnamomeus",0
"10309","COU","2007.01","Crypturellus cinnamomeus",0
"10310","CSN","2007.01","Crypturellus cinnamomeus",0
"10311","KRP","2007.01","Crypturellus cinnamomeus",0
"10312","MAS","2007.01","Crypturellus cinnamomeus",0
"10313","NAK","2007.01","Crypturellus cinnamomeus",0
"10314","NNN","2007.01","Crypturellus cinnamomeus",0
"10315","PSH","2007.01","Crypturellus cinnamomeus",0
"10316","RNF","2007.01","Crypturellus cinnamomeus",0
"10317","UDZ","2007.01","Crypturellus cinnamomeus",0
"10318","VB-","2007.01","Crypturellus cinnamomeus",0
"10319","YAN","2007.01","Crypturellus cinnamomeus",0
"10320","YAS","2007.01","Crypturellus cinnamomeus",0
"10321","BBS","2008.01","Crypturellus cinnamomeus",0
"10322","BCI","2008.01","Crypturellus cinnamomeus",0
"10323","BIF","2008.01","Crypturellus cinnamomeus",0
"10324","CAX","2008.01","Crypturellus cinnamomeus",0
"10325","COU","2008.01","Crypturellus cinnamomeus",0
"10326","CSN","2008.01","Crypturellus cinnamomeus",0
"10327","KRP","2008.01","Crypturellus cinnamomeus",0
"10328","MAS","2008.01","Crypturellus cinnamomeus",0
"10329","NAK","2008.01","Crypturellus cinnamomeus",0
"10330","NNN","2008.01","Crypturellus cinnamomeus",0
"10331","PSH","2008.01","Crypturellus cinnamomeus",0
"10332","RNF","2008.01","Crypturellus cinnamomeus",0
"10333","UDZ","2008.01","Crypturellus cinnamomeus",0
"10334","VB-","2008.01","Crypturellus cinnamomeus",0
"10335","YAN","2008.01","Crypturellus cinnamomeus",0
"10336","YAS","2008.01","Crypturellus cinnamomeus",0
"10337","BBS","2009.01","Crypturellus cinnamomeus",0
"10338","BCI","2009.01","Crypturellus cinnamomeus",0
"10339","BIF","2009.01","Crypturellus cinnamomeus",0
"10340","CAX","2009.01","Crypturellus cinnamomeus",0
"10341","COU","2009.01","Crypturellus cinnamomeus",0
"10342","CSN","2009.01","Crypturellus cinnamomeus",6
"10343","KRP","2009.01","Crypturellus cinnamomeus",0
"10344","MAS","2009.01","Crypturellus cinnamomeus",0
"10345","NAK","2009.01","Crypturellus cinnamomeus",0
"10346","NNN","2009.01","Crypturellus cinnamomeus",0
"10347","PSH","2009.01","Crypturellus cinnamomeus",0
"10348","RNF","2009.01","Crypturellus cinnamomeus",0
"10349","UDZ","2009.01","Crypturellus cinnamomeus",0
"10350","VB-","2009.01","Crypturellus cinnamomeus",0
"10351","YAN","2009.01","Crypturellus cinnamomeus",0
"10352","YAS","2009.01","Crypturellus cinnamomeus",0
"10353","BBS","2010.01","Crypturellus cinnamomeus",0
"10354","BCI","2010.01","Crypturellus cinnamomeus",0
"10355","BIF","2010.01","Crypturellus cinnamomeus",0
"10356","CAX","2010.01","Crypturellus cinnamomeus",0
"10357","COU","2010.01","Crypturellus cinnamomeus",0
"10358","CSN","2010.01","Crypturellus cinnamomeus",0
"10359","KRP","2010.01","Crypturellus cinnamomeus",0
"10360","MAS","2010.01","Crypturellus cinnamomeus",0
